Section,Line Item,Unit,2026,2027,2028,2029,2030,Notes
CASH,Series A proceeds (assumed),USD,0,700000,0,0,0,Bridge or rolling close in 2027
CASH,Operating cash flow,USD,-285000,-1542000,-3289000,-5838750,-9440000,= operating loss (rough proxy)
CASH,Capex,USD,0,0,0,0,0,SaaS — minimal capex
CASH,Ending cash,USD,1465000,623000,-2666000,-8504750,-17944750,Run out without further financing
CASH,Months of runway at year-end,months,18,3,n/a,n/a,n/a,Series A required mid-2027
,,,,,,,,
UNIT ECONOMICS,Avg ACV (USD),USD,n/a,100000,150000,200000,250000,
UNIT ECONOMICS,CAC (founder-led + sales engineer),USD,n/a,25000,40000,50000,60000,Excludes founder time
UNIT ECONOMICS,LTV (5-yr horizon @ 5% churn),USD,n/a,420000,700000,1000000,1200000,
UNIT ECONOMICS,LTV/CAC,ratio,n/a,16.8,17.5,20.0,20.0,
UNIT ECONOMICS,Payback period,months,n/a,4,4,3,3,
,,,,,,,,
SENSITIVITY — DOWN (P10),Time to first paid pilot,months,+6 months,,,,,Worst case
SENSITIVITY — DOWN (P10),Average ACV in 2028,USD,,,100000,,,Worst case
SENSITIVITY — DOWN (P10),AI infra cost / active user / month,USD,,250,,,,Worst case — model fees explode
SENSITIVITY — BASE (P50),Time to first paid pilot,months,as planned,,,,,
SENSITIVITY — BASE (P50),Average ACV in 2028,USD,,,150000,,,
SENSITIVITY — BASE (P50),AI infra cost / active user / month,USD,,80,,,,
SENSITIVITY — UP (P90),Time to first paid pilot,months,-3 months,,,,,Best case
SENSITIVITY — UP (P90),Average ACV in 2028,USD,,,250000,,,Best case
SENSITIVITY — UP (P90),AI infra cost / active user / month,USD,,30,,,,Best case — model deflation continues
,,,,,,,,
USE OF FUNDS — THIS ROUND,Engineering hires (5 senior hires + bench),% of round,55%,,,,,~$960K of $1.75M
USE OF FUNDS — THIS ROUND,Design partner conversion (travel + paid pilots subsidy),% of round,15%,,,,,~$260K
USE OF FUNDS — THIS ROUND,AI / cloud cost runway,% of round,10%,,,,,~$175K
USE OF FUNDS — THIS ROUND,On-prem packaging hardening,% of round,8%,,,,,~$140K
USE OF FUNDS — THIS ROUND,Legal & compliance,% of round,5%,,,,,~$87K
USE OF FUNDS — THIS ROUND,Operations & buffer,% of round,7%,,,,,~$123K
USE OF FUNDS — THIS ROUND,Total,% of round,100%,,,,,$1.75M base case
